id,name,city,address,founded_year,logo_url,contact_email,contact_phone
6666327a-d2ac-44d9-a8c7-44f981f53ed3,Сдружение ВК Атом,,"жк. 2 бл. 39, ет. 3, ап. 9",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,vk_atom@mail.bg,0885758741
f4e1da6f-d550-4170-b117-c85f7c8972a6,Сдружение СКВ ДИЕМ Русе,,"ул. ""Димчо Дебелянов"" № 62, Автоимпекс-1, вх. Б, ет. 4",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,mimi_pench@abv.bg,0887602754
a26cca0b-aea0-465b-96ae-fc63ba8543c3,Сдружение ВК ЛЮБО ГАНЕВ - АВТОСВЯТ,,"ул. ""Г. С. Раковски"" № 19, ет. 2, ап. 5",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,di.marinova@abv.bg,0888548853
d1d399f7-ee21-4f35-baec-e69a50309571,Сдружение ВК Севлиево Волей,,"ул. ""Марин Попов"" № 54",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,Sevlievovolley@abv.bg,0888585577
14bca6c8-4b83-43be-8e2b-04955e24bf36,Сдружение ВК Звездец,,"с. Горна Малина, зала Арена Горна Малина",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,genkov.ivan@gmail.com,0898724526
2daa156e-0589-460a-9fd2-b283cd8956a1,Сдружение ОСК Левски - 2005,,"ул. ""Гена Павлова"" № 5",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,kpetrov1964@abv.bg,0898561481
7accc9cf-86ef-4cfa-ba29-0eac2f943b09,Сдружение ВК Ропотамо,,"ул. ""Трети март"" № 66",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,vkropotamo@abv.bg,0889080448
75c804d5-afa7-498e-97d6-a07b4f2ed971,Сдружение ОСК Славия,,"кв. Овча купел, ул. ""Коломан"" №1",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,volleyslavia@gmail.com,+359 898 49 50 50
0c0f1a6c-febe-4e17-b502-46859156b8b4,Сдружение ВК Велбъжд - Олимпия,,"ул. ""Цар Освободител"" № 19",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,emil_stoianovkn@abv.bg,0878438989
e98a8066-3411-4fbc-85ee-294e73934c66,Сдружение ВК Марица - Белово,,"ул. ""Георги Бенковски"" - Спортна зала",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,ivan_rover@abv.bg,0892052578
b910b617-16f7-4ea0-bb01-8484c07dc117,Сдружение ВК Марица - Пловдив,,"ул. ""Пещерско шосе"" № 201, зала Колодрум",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,info@volleymaritza.bg,0882989838
1f241260-ab18-428d-b870-8889f59defe5,Сдружение ВК ЦСКА,,"бул. ""Асен Йорданов"" № 1, зала ""Васил Симов""",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,info@cskavolley.org,0896668889
e8736a73-df09-4f6c-9cc9-0230f265df75,Сдружение ВК Сливен - Волей,,"ул. ""Хилендар"" № 3, Спортна зала ""Асеновец""",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,sliven_volley@abv.bg,0877285817
58d2f4f3-66fa-4cf0-9df4-1f2cfae4a2de,Сдружение ВК Локомотив (ЧБ),,"ул. ""Цар Асен"" № 28",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,mi6o7002@abv.bg,0898670835
b123f43e-c386-4c27-84ab-a170c1d6930e,Сдружение ВК Добруджa 07,,"ул. ""Генерал Колев"" № 55, /зала УСШ/",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,dobrudjavolley@abv.bg,0895702096
f1b18700-ec6f-4d19-b01d-74906ccc4cbe,Сдружение ВК Раковски - 1964,,"ул. ""Стефан Пешев"", Спортна зала ""Дан Колов"" No 1",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,rakovski_volley@abv.bg,0878876230
60e9583c-6d90-47ad-901a-f96a274f5b01,Сдружение ВК Нефтохимик - 2010,,"ж.к. Лазур, Спортна зала ""Нефтохимик""",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,lukoil_volei@abv.bg,0899926999
ec06c2ac-2f55-4320-9926-c740685e5350,Сдружение ВК Коини Волей,,"ул. ""Княз Борис I"" № 45, бл. 3, вх. В, ап. 8",,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,koini@abv.bg,0899871020
c9ed8861-c330-49b2-9fd5-8a460777e2f7,Сдружение ВК Бъдин-Волей,,ул. Княз Борис I №25,,https://www.bvf.bg/_next/static/media/facebook.3ef2c570.svg,k.n.georgieva@abv.bg,+3596767396739
